I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-224, -14, 209, 119, -217, 97, 200, -43, 126, 151, 43, 73, 
-214, -9, 204, 112, -209, 97, 200, -43, 136, 151, 43, 68, 
-224, -9, 214, 117, -219, 102, 195, -39, 131, 141, 43, 63, 
-229, -9, 219, 119, -224, 104, 190, -39, 131, 146, 43, 63, 
-234, -9, 224, 122, -229, 107, 190, -48, 131, 151, 39, 68, 
-234, -9, 224, 122, -229, 107, 185, -48, 131, 151, 39, 68, 
-244, -9, 234, 126, -239, 112, 200, -58, 126, 141, 39, 58, 
-253, -4, 248, 129, -251, 122, 204, -58, 131, 146, 48, 68, 
-263, -4, 258, 134, -261, 126, 209, -58, 131, 151, 53, 73, 
-248, 9, 258, 119, -253, 134, 209, -53, 131, 156, 53, 73, 
-234, 14, 248, 109, -241, 131, 200, -53, 146, 161, 43, 73, 
-244, 14, 258, 114, -251, 136, 200, -48, 146, 161, 39, 68, 
-244, 19, 263, 112, -253, 141, 195, -48, 146, 161, 29, 48, 
-244, 24, 268, 109, -256, 146, 190, -53, 141, 161, 14, 43, 
-244, 24, 268, 109, -256, 146, 200, -48, 151, 165, 24, 53, 
-244, 29, 273, 107, -258, 151, 204, -43, 156, 165, 29, 53, 
-244, 29, 273, 107, -258, 151, 204, -39, 156, 175, 39, 53, 
-244, 39, 283, 102, -263, 161, 209, -34, 156, 175, 43, 53, 
-253, 39, 292, 107, -273, 165, 209, -34, 156, 185, 58, 48, 
-263, 29, 292, 117, -278, 161, 209, -24, 161, 180, 58, 58, 
-273, 29, 302, 122, -287, 165, 214, -24, 165, 175, 63, 58, 
-273, 39, 312, 117, -292, 175, 219, -24, 165, 170, 63, 58, 
-273, 39, 312, 117, -292, 175, 209, -34, 165, 161, 58, 48, 
-278, 43, 322, 117, -300, 183, 209, -34, 170, 165, 58, 43, 
-292, 53, 346, 119, -319, 200, 209, -29, 170, 165, 53, 43, 
-302, 53, 356, 124, -329, 204, 209, -29, 170, 165, 48, 43, 
-312, 34, 346, 139, -329, 190, 224, -29, 170, 165, 48, 43, 
-317, 34, 351, 141, -334, 192, 234, -19, 180, 175, 48, 43, 
-322, 39, 361, 141, -341, 200, 234, -19, 195, 180, 58, 43, 
-326, 48, 375, 139, -351, 212, 234, -14, 195, 185, 58, 39, 
-322, 63, 385, 129, -353, 224, 234, -4, 195, 175, 58, 39, 
-317, 63, 380, 126, -348, 222, 234, -4, 200, 175, 58, 43, 
-312, 63, 375, 124, -344, 219, 234, 0, 204, 180, 68, 48, 
-317, 63, 380, 126, -348, 222, 244, 0, 209, 180, 68, 48, 
-312, 78, 390, 117, -351, 234, 239, -9, 204, 185, 58, 39, 
-312, 87, 400, 112, -356, 244, 239, -4, 219, 190, 53, 34, 
-331, 97, 429, 117, -380, 263, 244, -4, 219, 190, 48, 34, 
-341, 112, 453, 114, -397, 283, 248, -4, 224, 195, 48, 29, 
-346, 107, 453, 119, -400, 280, 253, 9, 239, 200, 53, 39, 
-351, 102, 453, 124, -402, 278, 258, 14, 248, 204, 58, 39, 
-370, 97, 468, 136, -419, 283, 278, 24, 263, 209, 78, 39, 
-370, 97, 468, 136, -419, 283, 297, 29, 278, 214, 82, 39, 
-370, 92, 463, 139, -417, 278, 287, 24, 273, 214, 82, 39, 
-380, 92, 473, 143, -427, 283, 297, 24, 283, 224, 82, 39, 
-380, 87, 468, 146, -424, 278, 302, 29, 292, 229, 87, 34, 
-380, 87, 468, 146, -424, 278, 307, 34, 297, 234, 92, 29, 
-370, 107, 478, 131, -424, 292, 317, 39, 302, 248, 97, 29, 
-370, 117, 488, 126, -429, 302, 322, 58, 322, 258, 97, 34, 
-380, 131, 512, 124, -446, 322, 331, 63, 326, 263, 97, 34, 
-395, 146, 541, 124, -468, 344, 336, 63, 351, 273, 97, 34, 
-429, 136, 566, 146, -497, 351, 351, 73, 356, 283, 97, 34, 
-448, 126, 575, 161, -512, 351, 361, 78, 370, 287, 107, 29, 
